,lower AMZN_diff,upper AMZN_diff,lower META_diff,upper META_diff,lower GOOG_diff,upper GOOG_diff,lower ORCL_diff,upper ORCL_diff,lower MSFT_diff,upper MSFT_diff
2022-01-15,-17.11773767456403,10.894560937232693,-29.094157784755332,28.025651494660167,-7.116774190381822,9.189403410058162,-6.633288567808598,5.164455403153233,-16.247500551946356,22.111292769508065
2022-01-16,-10.985582274614377,17.03023910343019,-22.693029818485694,34.429547131429445,-5.411968156391582,10.909518213392735,-4.9417688474013195,6.856493481010255,-17.434753878261464,21.058777023303666
2022-01-17,-13.103696972347862,14.912202951079756,-18.01440820228566,39.10824469461575,-7.439506992513781,8.882337699020376,-5.569122094350893,6.229155402705627,-14.140625799268165,24.358356075494115
2022-01-18,-17.48023990931231,10.5356574325173,-40.61717173247574,16.50547932742691,-12.322278566824409,3.999547723647667,-6.455778939363739,5.34249819521011,-26.278037319583404,12.220771610213928
2022-01-19,-16.66514167152188,11.350755765522736,-36.82389300683925,20.298758101722676,-8.973274457302223,7.3485535238625435,-8.42573362222703,3.3725435218627045,-19.35768324305581,19.141171961658124
2022-01-20,-16.03582640700924,11.980071027567657,-29.300970008363283,27.821681100784264,-8.54012333917401,7.781704496731172,-8.354865600401508,3.443411543858233,-24.42915421109584,14.069694007891362
2022-01-21,-14.372588018984628,13.643309416675558,-28.22273327988269,28.899917831074447,-8.602415327120957,7.719412521956704,-6.278609037225127,5.5196681074391325,-18.951934913503056,19.546914445323655
2022-01-22,-18.901361383060575,12.414561893360442,-32.143358266066016,31.20709006599356,-8.004283601875446,10.324004926614126,-7.352187102721469,5.8664551926998705,-18.1338377438504,24.79369300972852
2022-01-23,-12.555693931042558,18.762222775449843,-24.83549382803075,38.51588338940062,-6.404895496388243,11.934592748158014,-5.658312215796101,7.560545565367905,-19.228706769045587,23.795239338521803
2022-01-24,-14.925337069020735,16.392660032453783,-21.046905267065405,42.304546651469465,-8.427482852267763,9.912353487979077,-6.339568975625221,6.8793047714036035,-16.284875986385252,26.74363038748124
2022-01-25,-18.970673461231325,12.347320920844458,-43.83408851892291,19.51736156406314,-13.337010692771418,5.002805382622207,-7.156972766056664,6.061900594405157,-28.37548457556395,14.652809063154887
2022-01-26,-18.30596772676095,13.012026755939726,-40.12749031770802,23.223959814767817,-9.896051121659838,8.443766785605398,-9.014458564329011,4.204414806454589,-21.462395543265657,21.565946015889494
2022-01-27,-17.536305384743535,13.781689095786323,-31.44830865486842,31.903141479059514,-9.521186933454883,8.818630816447909,-9.01707799199812,4.201795379139492,-26.74619014430204,16.28214403977009
2022-01-28,-16.208003029869026,15.109991452227048,-32.13835643928837,31.213093697314747,-9.64920121950765,8.690616544905405,-7.0037949924367995,6.2150783793049476,-21.45133922825392,21.576996155506876
2022-01-29,-20.469713598745493,14.079254459023204,-35.39050780082656,34.4792782363568,-8.984690108555771,11.251859442132957,-8.037761697410502,6.549815535777439,-20.48279605649804,26.87936453497511
2022-01-30,-14.21095690139354,20.33958795578913,-28.5067684481468,41.36353816544123,-7.345737794295021,12.90089879402087,-6.344685202784924,8.242983480582344,-21.60573998373786,25.849050846777036
