Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date
datasource,251,1488,1425,1905,2189,2655,978,3120,0.00%,0.0,0.1,347.72,2024-10
DS Page,143,1403,1303,1698,1945,2852,1018,5614,0.00%,0.0,0.5,451.93,2024-10
schema,500,1451,1268,2162,2489,3334,0,4598,0.40%,0.1,1.1,584.34,2024-10
DS Selection,142,4335,4154,5197,5921,6687,3166,13392,0.00%,0.0,1.0,1042.23,2024-10
Compose-Connection-settings,747,2717,2030,2820,3984,21511,1467,33351,4.69%,0.1,1.3,3300.9,2024-10
HTTP Request-executesession,1183,289,249,361,437,917,151,7619,0.00%,0.2,0.9,320.02,2024-10
Compose-Query-Run,450,522,382,652,991,5137,232,5930,0.00%,0.1,0.2,649.91,2024-10
query_run,450,498,373,597,786,5136,231,5928,0.00%,0.1,0.1,645.94,2024-10
Schema Selection,62,4866,4831,5484,5535,5751,3682,5980,0.00%,0.0,0.3,490.94,2024-10
table,498,5669,5543,6820,7263,9142,3792,10836,0.00%,0.1,0.8,987.55,2024-10
Domain,94,555,482,630,686,998,358,5440,0.00%,0.0,0.3,517.25,2024-10
Table selection,59,5871,5735,6536,6811,7780,4719,12055,1.69%,0.0,0.6,1003.05,2024-10
Search,357,19834,19538,22837,24400,28076,14533,32155,0.00%,0.0,18.6,2554.74,2024-10
column,498,1905,1816,2324,2640,3100,1333,8094,0.00%,0.1,2.8,520.59,2024-10
Lineage- 500 to1k df,46,1550,1483,1914,2074,2459,1154,2459,0.00%,0.0,0.5,266.02,2024-10
query,498,384,329,480,557,1156,225,6527,0.00%,0.1,0.2,414.11,2024-10
connectors,498,199,152,219,292,864,110,5549,0.00%,0.1,0.1,355.33,2024-10
Open Domain,94,9890,9694,11971,12742,13792,7740,17195,1.06%,0.0,0.3,1565.59,2024-10
term,498,5307,5343,5817,5969,6709,4477,6981,0.00%,0.1,0.1,444.12,2024-10
Compose-Queryfetchresults,443,3006,2943,3645,3936,4404,2007,10213,0.23%,0.1,4.1,597.19,2024-10
Result Latest,881,300,266,395,468,997,146,7316,0.23%,0.1,0.1,272.08,2024-10
Export-Query-Run,440,540,412,716,1003,4415,273,7154,0.00%,0.1,0.2,623.09,2024-10
query_export,440,518,401,605,811,4414,271,7153,0.00%,0.1,0.1,620.6,2024-10
Compose-export-Connection-settings,143,2633,2324,2774,3025,14481,1749,26281,2.10%,0.0,0.3,2301.26,2024-10
Govern,94,819,748,965,1024,1663,584,4227,0.00%,0.0,0.4,386.17,2024-10
Compose-Export-Queryfetchresults,438,3188,2792,3662,4113,15524,1967,36982,1.14%,0.1,3.6,2702.5,2024-10
Launch Workflows,94,4394,4202,5244,5777,6856,3236,10390,0.00%,0.0,1.6,948.21,2024-10
Column Selection,12,5346,5000,6282,6282,6525,4315,6525,0.00%,0.0,0.1,729.8,2024-10
Logout,25,488,367,801,1086,1107,215,1107,0.00%,0.2,2.8,273.77,2024-10
Tag,2848,103,89,132,204,406,51,757,0.00%,0.4,0.3,63.26,2024-07
Flag,2848,101,86,119,184,479,52,916,0.00%,0.4,0.2,72.42,2024-07
update articles API,646,1152,1248,1811,2019,2348,60,2922,0.00%,0.1,0.1,581.3,2024-07
update complex articles API,646,1152,1248,1811,2019,2348,60,2922,0.00%,0.1,0.1,581.3,2024-07
Custom_Fields,2836,146,131,176,242,595,90,914,0.00%,0.4,4.7,70.28,2024-07
ReadColumnAPI,2804,258,227,356,430,826,155,1026,0.00%,0.4,0.4,116.88,2024-07
DS_objects_Query_API,7030,220,186,298,403,790,124,1352,0.00%,1.0,1.2,122.39,2024-07
Read Articles,2748,465,425,624,734,1095,273,2680,0.00%,0.4,2.9,161.84,2024-07
CreateArticleSimple,692,404,367,570,646,929,253,1106,0.00%,0.1,0.1,129.26,2024-07
SimpleArticlesCreate,692,404,367,570,646,929,253,1106,0.00%,0.1,0.1,129.26,2024-07
Update column values API,6904,408,372,557,632,972,246,1298,0.00%,1.0,0.6,130.08,2024-07
Login,25,1154,1017,1534,1726,2225,851,2225,0.00%,0.6,22.2,312.5,2024-07
Homepage,25,9504,9563,12228,12926,13304,5985,13304,0.00%,0.5,64.1,2235.26,2024-07
datasources,275,1393,1345,1820,2004,2200,0,2393,0.00%,0.0,0.1,299.31,2024-07
datasource,274,1398,1345,1824,2004,2200,921,2393,0.00%,0.0,0.1,287.75,2024-07
schema,547,720,663,1039,1225,1462,0,1567,0.00%,0.1,0.7,229.8,2024-07
Search,831,5887,5639,6873,7521,9691,4212,24990,0.48%,0.1,8.9,1442.49,2024-07
Create_glossary,38,9021,8334,9835,10183,29336,7362,29336,2.63%,0.0,0.7,3441.89,2024-07
Compose-Connection-settings,786,1941,1790,2337,2491,7225,1216,10886,0.00%,0.1,0.9,806.81,2024-07
HTTP Request-executesession,1215,232,206,304,411,765,140,1075,0.00%,0.2,0.2,104.02,2024-07
Compose-Query-Run,459,390,346,542,685,1015,233,1377,0.00%,0.1,0.3,148.29,2024-07
query_run,459,370,340,512,606,925,231,1047,0.00%,0.1,0.1,121.93,2024-07
table,546,3641,3568,4459,4802,5154,2535,5609,0.00%,0.1,0.7,617.07,2024-07
Domain,110,2173,2029,2734,2813,4993,1490,5154,0.00%,0.0,1.0,552.44,2024-07
Open Domain,110,3296,3238,3906,4300,4857,2462,5179,0.00%,0.0,1.0,535.77,2024-07
column,546,1732,1692,2129,2314,2561,1203,2811,0.00%,0.1,3.1,290.69,2024-07
query,546,342,306,472,654,966,204,1095,0.00%,0.1,0.2,139.3,2024-07
DS search,110,1697,1574,2171,2307,2489,1308,2520,0.00%,0.0,0.3,316.87,2024-07
connectors,545,160,137,206,312,684,0,719,0.00%,0.1,0.1,92.19,2024-07
DS Selection,110,6844,6644,7709,8219,8691,5567,8798,0.00%,0.0,1.6,698.75,2024-07
Datasource Custom field,330,103,83,138,196,612,58,899,0.00%,0.0,0.0,82.96,2024-07
term,544,931,836,1338,1399,1577,532,1782,0.00%,0.1,0.1,295.47,2024-07
Schema Selection,69,6721,6622,7759,8530,9834,4934,10192,0.00%,0.0,1.0,992.21,2024-07
Compose-Queryfetchresults,456,2794,2741,3344,3571,3894,1882,4972,0.00%,0.1,3.9,427.66,2024-07
Result Latest,908,275,250,399,456,854,142,1201,0.44%,0.1,0.1,119.35,2024-07
Table selection,58,7510,7404,8601,8820,10702,6046,11066,0.00%,0.0,0.9,941.62,2024-07
Column Selection,58,6918,6866,7704,7824,7927,5715,8086,0.00%,0.0,0.5,592.57,2024-07
Lineage,58,1251,1166,1676,1753,1879,918,1975,0.00%,0.0,0.7,250.76,2024-07
Export-Query-Run,454,423,371,624,791,1044,237,1316,0.00%,0.1,0.4,165.52,2024-07
query_export,454,394,361,519,625,1023,235,1302,0.00%,0.1,0.1,140.61,2024-07
Govern,110,2929,2819,3590,4082,5125,2035,5786,0.00%,0.0,1.0,646.75,2024-07
Compose-export-Connection-settings,127,1924,1846,2372,2481,3025,1482,3226,0.00%,0.0,0.2,314.46,2024-07
Compose-Export-Queryfetchresults,452,2709,2680,3236,3429,3818,1606,4451,1.99%,0.1,4.0,424.4,2024-07
Launch Workflows,110,4685,4600,5484,5554,6839,3498,7404,0.00%,0.0,2.1,635.06,2024-07
Logout,25,304,272,392,446,866,196,866,0.00%,0.2,3.9,129.73,2024-07
