1,Date,AMZN,GOOG,META,MSFT,ORCL
113,2020-06-11,127.89800262451172,70.19200134277344,224.42999267578125,186.27000427246094,51.310001373291016
114,2020-06-12,127.2509994506836,70.65899658203125,228.5800018310547,187.74000549316406,51.86000061035156
115,2020-06-15,128.63400268554688,70.99250030517578,232.5,188.94000244140625,53.25
116,2020-06-16,130.7635040283203,72.13600158691406,235.64999389648438,193.57000732421875,54.59000015258789
117,2020-06-17,132.0489959716797,72.55599975585938,235.52999877929688,194.24000549316406,51.52000045776367
118,2020-06-18,132.69900512695312,71.7979965209961,235.94000244140625,196.32000732421875,53.689998626708984
119,2020-06-19,133.75050354003906,71.58599853515625,238.7899932861328,195.14999389648438,54.400001525878906
120,2020-06-22,135.6909942626953,72.59300231933594,239.22000122070312,200.57000732421875,55.119998931884766
121,2020-06-23,138.2205047607422,73.22049713134766,242.24000549316406,201.91000366210938,55.189998626708984
122,2020-06-24,136.72000122070312,71.59850311279297,234.02000427246094,197.83999633789062,54.439998626708984
123,2020-06-25,137.72900390625,72.06649780273438,235.67999267578125,200.33999633789062,54.529998779296875
124,2020-06-26,134.64349365234375,67.99500274658203,216.0800018310547,196.3300018310547,54.18000030517578
125,2020-06-29,134.0189971923828,69.74849700927734,220.63999938964844,198.44000244140625,54.7599983215332
126,2020-06-30,137.9409942626953,70.68049621582031,227.07000732421875,203.50999450683594,55.27000045776367
127,2020-07-01,143.93499755859375,71.9020004272461,237.5500030517578,204.6999969482422,55.4900016784668
128,2020-07-02,144.51499938964844,73.23500061035156,233.4199981689453,206.25999450683594,55.939998626708984
129,2020-07-06,152.8520050048828,74.78500366210938,240.27999877929688,210.6999969482422,56.599998474121094
130,2020-07-07,150.00599670410156,74.25900268554688,240.86000061035156,208.25,56.310001373291016
131,2020-07-08,154.0554962158203,74.80000305175781,243.5800018310547,212.8300018310547,56.65999984741211
132,2020-07-09,159.13150024414062,75.54949951171875,244.5,214.32000732421875,57.529998779296875
133,2020-07-10,160.0,77.08699798583984,245.07000732421875,213.6699981689453,57.38999938964844
134,2020-07-13,155.1999969482422,75.56700134277344,239.0,207.07000732421875,57.0099983215332
135,2020-07-14,154.1999969482422,76.02899932861328,239.72999572753906,208.35000610351562,57.20000076293945
136,2020-07-15,150.44349670410156,75.68199920654297,240.27999877929688,208.0399932861328,56.619998931884766
137,2020-07-16,149.9949951171875,75.9000015258789,240.92999267578125,203.9199981689453,55.81999969482422
138,2020-07-17,148.09849548339844,75.77749633789062,242.02999877929688,202.8800048828125,54.900001525878906
139,2020-07-20,159.8419952392578,78.28600311279297,245.4199981689453,211.60000610351562,55.400001525878906
140,2020-07-21,156.9145050048828,77.9209976196289,241.75,208.75,55.90999984741211
141,2020-07-22,154.99549865722656,78.42449951171875,239.8699951171875,211.75,56.0099983215332
142,2020-07-23,149.32749938964844,75.78399658203125,232.60000610351562,202.5399932861328,55.7599983215332
143,2020-07-24,150.44549560546875,75.59349822998047,230.7100067138672,201.3000030517578,55.650001525878906
144,2020-07-27,152.760498046875,76.51000213623047,233.5,203.85000610351562,55.34000015258789
145,2020-07-28,150.01649475097656,75.01699829101562,230.1199951171875,202.02000427246094,55.349998474121094
146,2020-07-29,151.67649841308594,76.10099792480469,233.2899932861328,204.05999755859375,55.70000076293945
147,2020-07-30,152.593994140625,76.57250213623047,234.5,203.89999389648438,55.25
148,2020-07-31,158.23399353027344,74.14800262451172,253.6699981689453,205.00999450683594,55.45000076293945
149,2020-08-03,155.59449768066406,73.72250366210938,251.9600067138672,216.5399932861328,55.97999954223633
150,2020-08-04,156.94149780273438,73.24849700927734,249.8300018310547,213.2899932861328,56.0
151,2020-08-05,160.25149536132812,73.68049621582031,249.1199951171875,212.94000244140625,55.5
152,2020-08-06,161.25,75.00499725341797,265.2799987792969,216.35000610351562,55.279998779296875
153,2020-08-07,158.3730010986328,74.72450256347656,268.44000244140625,212.47999572753906,55.22999954223633
154,2020-08-10,157.4080047607422,74.80500030517578,263.0,208.25,54.939998626708984
155,2020-08-11,154.0334930419922,74.01599884033203,256.1300048828125,203.3800048828125,54.27000045776367
156,2020-08-12,158.11199951171875,75.33100128173828,259.8900146484375,209.19000244140625,54.16999816894531
157,2020-08-13,158.05099487304688,75.92250061035156,261.29998779296875,208.6999969482422,54.02000045776367
158,2020-08-14,157.4010009765625,75.3864974975586,261.239990234375,208.89999389648438,54.20000076293945
159,2020-08-17,159.12049865722656,75.89900207519531,261.1600036621094,210.27999877929688,53.9900016784668
160,2020-08-18,165.62449645996094,77.93000030517578,262.3399963378906,211.49000549316406,55.18000030517578
161,2020-08-19,163.0240020751953,77.37650299072266,262.5899963378906,209.6999969482422,56.20000076293945
162,2020-08-20,164.86849975585938,79.0875015258789,269.010009765625,214.5800018310547,55.2599983215332
163,2020-08-21,164.23599243164062,79.02100372314453,267.010009765625,213.02000427246094,55.189998626708984
164,2020-08-24,165.3730010986328,79.41000366210938,271.3900146484375,213.69000244140625,56.0099983215332
165,2020-08-25,167.32449340820312,80.41100311279297,280.82000732421875,216.47000122070312,56.09000015258789
166,2020-08-26,172.09249877929688,82.61900329589844,303.9100036621094,221.14999389648438,57.4900016784668
167,2020-08-27,170.0,81.71649932861328,293.2200012207031,226.5800018310547,57.18000030517578
168,2020-08-28,170.08999633789062,82.22049713134766,293.6600036621094,228.91000366210938,57.880001068115234
169,2020-08-31,172.54800415039062,81.70899963378906,293.20001220703125,225.52999877929688,57.220001220703125
170,2020-09-01,174.95599365234375,83.0354995727539,295.44000244140625,227.27000427246094,57.65999984741211
171,2020-09-02,176.57249450683594,86.41400146484375,302.5,231.64999389648438,59.029998779296875
172,2020-09-03,168.39999389648438,82.09200286865234,291.1199951171875,217.3000030517578,57.099998474121094
173,2020-09-04,164.7310028076172,79.552001953125,282.7300109863281,214.25,55.72999954223633
174,2020-09-08,157.49200439453125,76.61949920654297,271.1600036621094,202.66000366210938,55.31999969482422
175,2020-09-09,163.4304962158203,77.8479995727539,273.7200012207031,211.2899932861328,56.95000076293945
176,2020-09-10,158.7554931640625,76.60099792480469,268.0899963378906,205.3699951171875,57.33000183105469
177,2020-09-11,155.81100463867188,76.03600311279297,266.6099853515625,204.02999877929688,57.0
178,2020-09-14,155.14849853515625,75.96399688720703,266.1499938964844,205.41000366210938,59.459999084472656
179,2020-09-15,157.80650329589844,77.0719985961914,272.4200134277344,208.77999877929688,60.939998626708984
180,2020-09-16,153.90499877929688,76.04499816894531,263.5199890136719,205.0500030517578,60.43000030517578
181,2020-09-17,150.43649291992188,74.77649688720703,254.82000732421875,202.91000366210938,60.18000030517578
182,2020-09-18,147.74549865722656,72.99949645996094,252.52999877929688,200.38999938964844,59.75
183,2020-09-21,148.02349853515625,71.55799865722656,248.14999389648438,202.5399932861328,60.81999969482422
184,2020-09-22,156.44949340820312,73.27300262451172,254.75,207.4199981689453,60.619998931884766
185,2020-09-23,149.9929962158203,70.760498046875,249.02000427246094,200.58999633789062,58.959999084472656
186,2020-09-24,150.989501953125,71.41449737548828,249.52999877929688,203.19000244140625,59.29999923706055
187,2020-09-25,154.75650024414062,72.24800109863281,254.82000732421875,207.82000732421875,59.79999923706055
188,2020-09-28,158.70249938964844,73.22599792480469,256.82000732421875,209.44000244140625,59.58000183105469
189,2020-09-29,157.24400329589844,73.46649932861328,261.7900085449219,207.25999450683594,59.470001220703125
190,2020-09-30,157.43649291992188,73.4800033569336,261.8999938964844,210.3300018310547,59.70000076293945
191,2020-10-01,161.06300354003906,74.50450134277344,266.6300048828125,212.4600067138672,59.68000030517578
192,2020-10-02,156.25,72.9209976196289,259.94000244140625,206.19000244140625,58.83000183105469
193,2020-10-05,159.9600067138672,74.3010025024414,264.6499938964844,210.3800048828125,59.560001373291016
194,2020-10-06,154.9980010986328,72.6719970703125,258.6600036621094,205.91000366210938,59.5099983215332
195,2020-10-07,159.7845001220703,73.0145034790039,258.1199951171875,209.8300018310547,60.59000015258789
196,2020-10-08,159.52749633789062,74.29650115966797,263.760009765625,210.5800018310547,60.88999938964844
197,2020-10-09,164.33250427246094,75.76100158691406,264.45001220703125,215.80999755859375,61.150001525878906
198,2020-10-12,172.14649963378906,78.4574966430664,275.75,221.39999389648438,61.459999084472656
199,2020-10-13,172.18150329589844,78.58399963378906,276.1400146484375,222.86000061035156,60.970001220703125
200,2020-10-14,168.1855010986328,78.40399932861328,271.82000732421875,220.86000061035156,60.959999084472656
201,2020-10-15,166.9324951171875,77.95649719238281,266.7200012207031,219.66000366210938,60.52000045776367
202,2020-10-16,163.635498046875,78.65049743652344,265.92999267578125,219.66000366210938,60.290000915527344
203,2020-10-19,160.36050415039062,76.73049926757812,261.3999938964844,214.22000122070312,59.619998931884766
204,2020-10-20,160.85049438476562,77.79650115966797,267.55999755859375,214.64999389648438,59.75
205,2020-10-21,159.2469940185547,79.66549682617188,278.7300109863281,214.8000030517578,59.66999816894531
206,2020-10-22,158.82000732421875,80.7665023803711,278.1199951171875,214.88999938964844,59.689998626708984
207,2020-10-23,160.22000122070312,82.05000305175781,284.7900085449219,216.22999572753906,59.900001525878906
208,2020-10-26,160.3520050048828,79.52249908447266,277.1099853515625,210.0800018310547,57.4900016784668
209,2020-10-27,164.31649780273438,80.21299743652344,283.2900085449219,213.25,57.08000183105469
210,2020-10-28,158.13900756835938,75.83100128173828,267.6700134277344,202.67999267578125,55.59000015258789
211,2020-10-29,160.55050659179688,78.36199951171875,280.8299865722656,204.72000122070312,56.02000045776367
212,2020-10-30,151.8074951171875,81.05049896240234,263.1099853515625,202.47000122070312,56.11000061035156
213,2020-11-02,150.2239990234375,81.30149841308594,261.3599853515625,202.3300018310547,56.45000076293945
214,2020-11-03,152.42050170898438,82.510498046875,265.29998779296875,206.42999267578125,56.79999923706055
215,2020-11-04,162.05799865722656,87.45649719238281,287.3800048828125,216.38999938964844,56.4900016784668
216,2020-11-05,166.10000610351562,88.16850280761719,294.67999267578125,223.2899932861328,56.65999984741211
217,2020-11-06,165.56849670410156,88.0875015258789,293.4100036621094,223.72000122070312,56.79999923706055
218,2020-11-09,157.18699645996094,88.1500015258789,278.7699890136719,218.38999938964844,56.84000015258789
219,2020-11-10,151.75100708007812,87.01950073242188,272.42999267578125,211.00999450683594,56.66999816894531
220,2020-11-11,156.8695068359375,87.635498046875,276.4800109863281,216.5500030517578,57.20000076293945
221,2020-11-12,155.51400756835938,87.49199676513672,275.0799865722656,215.44000244140625,56.45000076293945
222,2020-11-13,156.4405059814453,88.85099792480469,276.95001220703125,216.50999450683594,56.90999984741211
223,2020-11-16,156.55299377441406,89.06900024414062,278.9599914550781,217.22999572753906,57.150001525878906
224,2020-11-17,156.7830047607422,88.50749969482422,275.0,214.4600067138672,57.119998931884766
225,2020-11-18,155.2729949951172,87.33899688720703,271.9700012207031,211.0800018310547,56.25
